/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld.asm SUCCESS CPI:4.1 CYCLES:240 ICOUNT:58 IHITRATE: 71.8 DHITRATE: 34.4
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_large.asm SUCCESS CPI:3.1 CYCLES:3168 ICOUNT:1035 IHITRATE: 56.7 DHITRATE: 81.8
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_large_1.asm SUCCESS CPI:3.0 CYCLES:3092 ICOUNT:1035 IHITRATE: 56.7 DHITRATE: 88.1
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_large_2.asm SUCCESS CPI:2.9 CYCLES:3009 ICOUNT:1035 IHITRATE: 56.6 DHITRATE: 96.9
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_large_3.asm SUCCESS CPI:3.0 CYCLES:3071 ICOUNT:1035 IHITRATE: 56.7 DHITRATE: 90.0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_large_4.asm SUCCESS CPI:3.0 CYCLES:3154 ICOUNT:1035 IHITRATE: 56.7 DHITRATE: 82.8
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_large_5.asm SUCCESS CPI:3.1 CYCLES:3165 ICOUNT:1035 IHITRATE: 56.7 DHITRATE: 81.7
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_large_6.asm SUCCESS CPI:3.1 CYCLES:3162 ICOUNT:1035 IHITRATE: 56.7 DHITRATE: 82.3
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_large_7.asm SUCCESS CPI:3.1 CYCLES:3200 ICOUNT:1035 IHITRATE: 56.7 DHITRATE: 79.1
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_large_8.asm SUCCESS CPI:3.0 CYCLES:3100 ICOUNT:1035 IHITRATE: 56.7 DHITRATE: 87.5
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_large_9.asm SUCCESS CPI:3.0 CYCLES:3085 ICOUNT:1035 IHITRATE: 56.7 DHITRATE: 88.7
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_small.asm SUCCESS CPI:3.1 CYCLES:3168 ICOUNT:1035 IHITRATE: 56.7 DHITRATE: 81.8
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_small_1.asm SUCCESS CPI:3.0 CYCLES:3092 ICOUNT:1035 IHITRATE: 56.7 DHITRATE: 88.1
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_small_2.asm SUCCESS CPI:2.9 CYCLES:3009 ICOUNT:1035 IHITRATE: 56.6 DHITRATE: 96.9
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_small_3.asm SUCCESS CPI:3.0 CYCLES:3071 ICOUNT:1035 IHITRATE: 56.7 DHITRATE: 90.0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_small_4.asm SUCCESS CPI:3.0 CYCLES:3154 ICOUNT:1035 IHITRATE: 56.7 DHITRATE: 82.8
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_small_5.asm SUCCESS CPI:3.1 CYCLES:3165 ICOUNT:1035 IHITRATE: 56.7 DHITRATE: 81.7
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_small_6.asm SUCCESS CPI:3.1 CYCLES:3162 ICOUNT:1035 IHITRATE: 56.7 DHITRATE: 82.3
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_small_7.asm SUCCESS CPI:3.1 CYCLES:3200 ICOUNT:1035 IHITRATE: 56.7 DHITRATE: 79.1
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_small_8.asm SUCCESS CPI:3.0 CYCLES:3100 ICOUNT:1035 IHITRATE: 56.7 DHITRATE: 87.5
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_small_9.asm SUCCESS CPI:3.0 CYCLES:3085 ICOUNT:1035 IHITRATE: 56.7 DHITRATE: 88.7
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst.asm SUCCESS CPI:2.9 CYCLES:295 ICOUNT:102 IHITRATE: 78.8 DHITRATE: 50.9
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large.asm SUCCESS CPI:2.6 CYCLES:2671 ICOUNT:1010 IHITRATE: 97.0 DHITRATE: 62.2
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_1.asm SUCCESS CPI:2.3 CYCLES:2296 ICOUNT:983 IHITRATE: 97.0 DHITRATE: 84.7
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_2.asm SUCCESS CPI:2.3 CYCLES:2267 ICOUNT:981 IHITRATE: 97.0 DHITRATE: 87.0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_3.asm SUCCESS CPI:2.4 CYCLES:2338 ICOUNT:986 IHITRATE: 97.0 DHITRATE: 81.4
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_4.asm SUCCESS CPI:2.3 CYCLES:2270 ICOUNT:981 IHITRATE: 97.0 DHITRATE: 87.0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_5.asm SUCCESS CPI:2.6 CYCLES:2613 ICOUNT:1006 IHITRATE: 97.0 DHITRATE: 64.7
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_6.asm SUCCESS CPI:2.5 CYCLES:2475 ICOUNT:996 IHITRATE: 97.0 DHITRATE: 72.1
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_7.asm SUCCESS CPI:2.5 CYCLES:2474 ICOUNT:996 IHITRATE: 97.0 DHITRATE: 72.1
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_8.asm SUCCESS CPI:2.6 CYCLES:2624 ICOUNT:1007 IHITRATE: 97.0 DHITRATE: 64.0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_9.asm SUCCESS CPI:2.3 CYCLES:2281 ICOUNT:982 IHITRATE: 97.0 DHITRATE: 85.8
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small.asm SUCCESS CPI:2.5 CYCLES:2445 ICOUNT:994 IHITRATE: 97.0 DHITRATE: 73.8
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_1.asm SUCCESS CPI:2.3 CYCLES:2296 ICOUNT:983 IHITRATE: 97.0 DHITRATE: 84.7
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_2.asm SUCCESS CPI:2.3 CYCLES:2267 ICOUNT:981 IHITRATE: 97.0 DHITRATE: 87.0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_3.asm SUCCESS CPI:2.4 CYCLES:2338 ICOUNT:986 IHITRATE: 97.0 DHITRATE: 81.4
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_4.asm SUCCESS CPI:2.3 CYCLES:2270 ICOUNT:981 IHITRATE: 97.0 DHITRATE: 87.0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_5.asm SUCCESS CPI:2.6 CYCLES:2613 ICOUNT:1006 IHITRATE: 97.0 DHITRATE: 64.7
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_6.asm SUCCESS CPI:2.5 CYCLES:2475 ICOUNT:996 IHITRATE: 97.0 DHITRATE: 72.1
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_7.asm SUCCESS CPI:2.5 CYCLES:2474 ICOUNT:996 IHITRATE: 97.0 DHITRATE: 72.1
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_8.asm SUCCESS CPI:2.6 CYCLES:2624 ICOUNT:1007 IHITRATE: 97.0 DHITRATE: 64.0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_9.asm SUCCESS CPI:2.3 CYCLES:2281 ICOUNT:982 IHITRATE: 97.0 DHITRATE: 85.8
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_ld_test_0.asm SUCCESS CPI:5.3 CYCLES:48 ICOUNT:9 IHITRATE: 35.3 DHITRATE: 50.0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_ld_test_1.asm SUCCESS CPI:7.7 CYCLES:54 ICOUNT:7 IHITRATE: 31.7 DHITRATE: 36.4
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_reg_test_0.asm SUCCESS CPI:4.0 CYCLES:36 ICOUNT:9 IHITRATE: 36.4 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_reg_test_1.asm SUCCESS CPI:6.7 CYCLES:47 ICOUNT:7 IHITRATE: 31.7 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_st_test_0.asm SUCCESS CPI:3.8 CYCLES:38 ICOUNT:10 IHITRATE: 42.9 DHITRATE: 50.0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_st_test_1.asm SUCCESS CPI:7.7 CYCLES:54 ICOUNT:7 IHITRATE: 31.7 DHITRATE: 36.4
