/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld.asm SUCCESS CPI:4.1 CYCLES:240 ICOUNT:58 IHITRATE: 85.2 DHITRATE: 25.0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_large.asm SUCCESS CPI:2.3 CYCLES:2429 ICOUNT:1035 IHITRATE: 98.4 DHITRATE: 79.3
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_large_1.asm SUCCESS CPI:2.3 CYCLES:2352 ICOUNT:1035 IHITRATE: 98.3 DHITRATE: 86.4
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_large_2.asm SUCCESS CPI:2.9 CYCLES:2998 ICOUNT:1035 IHITRATE: 59.7 DHITRATE: 96.5
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_large_3.asm SUCCESS CPI:2.3 CYCLES:2331 ICOUNT:1035 IHITRATE: 98.3 DHITRATE: 88.6
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_large_4.asm SUCCESS CPI:2.3 CYCLES:2415 ICOUNT:1035 IHITRATE: 98.3 DHITRATE: 80.5
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_large_5.asm SUCCESS CPI:2.3 CYCLES:2429 ICOUNT:1035 IHITRATE: 98.4 DHITRATE: 79.3
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_large_6.asm SUCCESS CPI:2.3 CYCLES:2422 ICOUNT:1035 IHITRATE: 98.3 DHITRATE: 79.9
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_large_7.asm SUCCESS CPI:2.4 CYCLES:2464 ICOUNT:1035 IHITRATE: 98.4 DHITRATE: 76.3
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_large_8.asm SUCCESS CPI:2.3 CYCLES:2359 ICOUNT:1035 IHITRATE: 98.3 DHITRATE: 85.7
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_large_9.asm SUCCESS CPI:2.3 CYCLES:2345 ICOUNT:1035 IHITRATE: 98.3 DHITRATE: 87.1
